,cc_pixel_intensity_488,cc_pixel_intensity_405,cc_pixel_intensity_ratio,cc_average_degree_excludeFreeEnds,cc_max_PK,diameter,cc_vol_from_img_(um3),branches,nodes,edges
cc_pixel_intensity_488,1.0,0.5280452410114821,-0.0378983750664259,0.2948393367643099,0.2450141709969713,0.31995774410068706,0.23736142142099212,0.2174967585545189,0.19840318394946824,0.19549612409210257
cc_pixel_intensity_405,0.5280452410114821,1.0,0.751816655508968,0.14524974549529865,0.1459909939677102,0.16967702766277304,0.11314885442589968,0.10061670132711757,0.0939333552240512,0.09297716294833358
cc_pixel_intensity_ratio,-0.0378983750664259,0.751816655508968,1.0,-0.03875125069265982,-0.00700345138561923,-0.006619092737376084,-0.022385902249403955,-0.027745680330814513,-0.02303123405661813,-0.02262776050237213
cc_average_degree_excludeFreeEnds,0.2948393367643099,0.14524974549529865,-0.03875125069265982,1.0,0.7338328959203049,-0.06757878914827488,0.6128762516328846,0.6814209961101406,0.6201460194325956,0.6146762313733143
cc_max_PK,0.2450141709969713,0.1459909939677102,-0.00700345138561923,0.7338328959203049,1.0,-0.03947246421701383,0.5301201363034974,0.5805000822364696,0.5422948372836918,0.5331903887979341
diameter,0.31995774410068706,0.16967702766277304,-0.006619092737376084,-0.06757878914827488,-0.03947246421701383,1.0,-0.013811412394752564,-0.0556355749539963,-0.05066996866074835,-0.050133192287375734
cc_vol_from_img_(um3),0.23736142142099212,0.11314885442589968,-0.022385902249403955,0.6128762516328846,0.5301201363034974,-0.013811412394752564,1.0,0.9715498130426184,0.9805918558752158,0.9800544304025258
branches,0.2174967585545189,0.10061670132711757,-0.027745680330814513,0.6814209961101406,0.5805000822364696,-0.0556355749539963,0.9715498130426184,1.0,0.9904711270367126,0.9851281048606064
nodes,0.19840318394946824,0.0939333552240512,-0.02303123405661813,0.6201460194325956,0.5422948372836918,-0.05066996866074835,0.9805918558752158,0.9904711270367126,1.0,0.9988127232121071
edges,0.19549612409210257,0.09297716294833358,-0.02262776050237213,0.6146762313733143,0.5331903887979341,-0.050133192287375734,0.9800544304025258,0.9851281048606064,0.9988127232121071,1.0
